Borough,"date_mday",Agency,count
BRONX,1,DEP,24
BRONX,1,DOB,16
BRONX,1,DOHMH,21
BRONX,1,DOT,34
BRONX,1,DPR,2
BRONX,1,DSNY,13
BRONX,1,HPD,958
BRONX,1,NYPD,59
BRONX,1,TLC,3
BRONX,10,"3-1-1",1
BRONX,10,DCA,4
BRONX,10,DEP,42
BRONX,10,DHS,1
BRONX,10,DOB,43
BRONX,10,DOE,1
BRONX,10,DOF,8
BRONX,10,DOHMH,37
BRONX,10,DOT,88
BRONX,10,DPR,11
BRONX,10,DSNY,55
BRONX,10,HPD,782
BRONX,10,NYPD,92
BRONX,10,TLC,1
BRONX,11,DCA,8
BRONX,11,DEP,41
BRONX,11,DOB,16
BRONX,11,DOF,5
BRONX,11,DOHMH,28
BRONX,11,DOT,46
BRONX,11,DPR,15
BRONX,11,DSNY,30
BRONX,11,FDNY,1
BRONX,11,HPD,440
BRONX,11,NYPD,68
BRONX,11,TLC,4
BRONX,12,DCA,15
BRONX,12,DEP,51
BRONX,12,DOB,28
BRONX,12,DOE,6
BRONX,12,DOF,10
BRONX,12,DOHMH,31
BRONX,12,DOT,151
BRONX,12,DPR,18
BRONX,12,DSNY,39
BRONX,12,FDNY,3
BRONX,12,HPD,464
BRONX,12,NYPD,66
BRONX,12,TLC,1
BRONX,13,DCA,3
BRONX,13,DEP,34
BRONX,13,DFTA,1
BRONX,13,DOB,30
BRONX,13,DOE,2
BRONX,13,DOF,1
BRONX,13,DOHMH,31
BRONX,13,DOT,121
BRONX,13,DPR,18
BRONX,13,DSNY,91
BRONX,13,FDNY,3
BRONX,13,HPD,961
BRONX,13,NYPD,74
BRONX,13,TLC,1
BRONX,14,DCA,6
BRONX,14,DEP,15
BRONX,14,DOB,37
BRONX,14,DOE,3
BRONX,14,DOF,4
BRONX,14,DOHMH,27
BRONX,14,DOT,126
BRONX,14,DPR,8
BRONX,14,DSNY,45
BRONX,14,HPD,1000
BRONX,14,NYPD,95
BRONX,15,DCA,4
BRONX,15,DEP,18
BRONX,15,DOB,24
BRONX,15,DOHMH,13
BRONX,15,DOT,40
BRONX,15,DPR,6
BRONX,15,DSNY,28
BRONX,15,HPD,911
BRONX,15,NYPD,80
BRONX,15,TLC,2
BRONX,16,DCA,2
BRONX,16,DEP,30
BRONX,16,DOB,16
BRONX,16,DOE,1
BRONX,16,DOHMH,17
BRONX,16,DOT,67
BRONX,16,DPR,6
BRONX,16,DSNY,30
BRONX,16,HPD,720
BRONX,16,NYPD,111
BRONX,16,TLC,5
BRONX,17,DCA,3
BRONX,17,DEP,70
BRONX,17,DOB,41
BRONX,17,DOE,2
BRONX,17,DOF,8
BRONX,17,DOHMH,23
BRONX,17,DOT,131
BRONX,17,DPR,12
BRONX,17,DSNY,27
BRONX,17,FDNY,1
BRONX,17,HPD,874
BRONX,17,NYPD,82
BRONX,17,TLC,4
BRONX,18,DCA,10
BRONX,18,DEP,40
BRONX,18,DOB,44
BRONX,18,DOF,4
BRONX,18,DOHMH,36
BRONX,18,DOT,173
BRONX,18,DPR,10
BRONX,18,DSNY,28
BRONX,18,FDNY,1
BRONX,18,HPD,1617
BRONX,18,NYPD,78
BRONX,18,TLC,2
BRONX,19,"3-1-1",1
BRONX,19,DCA,1
BRONX,19,DEP,46
BRONX,19,DFTA,1
BRONX,19,DOB,41
BRONX,19,DOE,1
BRONX,19,DOF,10
BRONX,19,DOHMH,29
BRONX,19,DOT,137
BRONX,19,DPR,9
BRONX,19,DSNY,60
BRONX,19,FDNY,1
BRONX,19,HPD,1706
BRONX,19,NYPD,90
BRONX,19,TLC,1
BRONX,2,"3-1-1",1
BRONX,2,DCA,4
BRONX,2,DEP,16
BRONX,2,DOB,25
BRONX,2,DOHMH,16
BRONX,2,DOT,52
BRONX,2,DPR,43
BRONX,2,DSNY,15
BRONX,2,HPD,1009
BRONX,2,NYPD,61
BRONX,2,TLC,3
BRONX,20,DCA,14
BRONX,20,DEP,35
BRONX,20,DOB,38
BRONX,20,DOE,1
BRONX,20,DOF,7
BRONX,20,DOHMH,32
BRONX,20,DOT,102
BRONX,20,DPR,20
BRONX,20,DSNY,59
BRONX,20,HPD,1028
BRONX,20,NYPD,77
BRONX,20,TLC,1
BRONX,21,DCA,10
BRONX,21,DEP,53
BRONX,21,DOB,36
BRONX,21,DOE,5
BRONX,21,DOF,8
BRONX,21,DOHMH,20
BRONX,21,DOT,76
BRONX,21,DPR,11
BRONX,21,DSNY,28
BRONX,21,FDNY,1
BRONX,21,HPD,1112
BRONX,21,NYPD,93
BRONX,21,TLC,3
BRONX,3,DCA,9
BRONX,3,DEP,43
BRONX,3,DOB,65
BRONX,3,DOF,13
BRONX,3,DOHMH,33
BRONX,3,DOT,97
BRONX,3,DPR,40
BRONX,3,DSNY,66
BRONX,3,HPD,1100
BRONX,3,NYPD,73
BRONX,3,TLC,5
BRONX,4,DCA,11
BRONX,4,DEP,32
BRONX,4,DHS,1
BRONX,4,DOB,20
BRONX,4,DOE,2
BRONX,4,DOF,6
BRONX,4,DOHMH,20
BRONX,4,DOT,89
BRONX,4,DPR,12
BRONX,4,DSNY,32
BRONX,4,HPD,489
BRONX,4,NYPD,70
BRONX,4,TLC,1
BRONX,5,DCA,9
BRONX,5,DEP,50
BRONX,5,DHS,1
BRONX,5,DOB,40
BRONX,5,DOE,2
BRONX,5,DOF,8
BRONX,5,DOHMH,23
BRONX,5,DOT,157
BRONX,5,DPR,37
BRONX,5,DSNY,45
BRONX,5,HPD,517
BRONX,5,NYPD,83
BRONX,5,TLC,2
BRONX,6,DCA,5
BRONX,6,DEP,31
BRONX,6,DHS,1
BRONX,6,DOB,44
BRONX,6,DOE,1
BRONX,6,DOF,9
BRONX,6,DOHMH,27
BRONX,6,DOT,251
BRONX,6,DPR,13
BRONX,6,DSNY,104
BRONX,6,HPD,592
BRONX,6,NYPD,68
BRONX,7,DCA,6
BRONX,7,DEP,25
BRONX,7,DOB,28
BRONX,7,DOE,1
BRONX,7,DOF,6
BRONX,7,DOHMH,22
BRONX,7,DOT,56
BRONX,7,DPR,14
BRONX,7,DSNY,19
BRONX,7,HPD,849
BRONX,7,NYPD,93
BRONX,7,TLC,2
BRONX,8,DCA,6
BRONX,8,DEP,26
BRONX,8,DHS,1
BRONX,8,DOB,18
BRONX,8,DOE,1
BRONX,8,DOHMH,20
BRONX,8,DOT,24
BRONX,8,DPR,10
BRONX,8,DSNY,24
BRONX,8,HPD,743
BRONX,8,NYPD,88
BRONX,8,TLC,1
BRONX,9,"3-1-1",2
BRONX,9,DCA,5
BRONX,9,DEP,15
BRONX,9,DHS,1
BRONX,9,DOB,10
BRONX,9,DOF,1
BRONX,9,DOHMH,19
BRONX,9,DOT,44
BRONX,9,DPR,8
BRONX,9,DSNY,28
BRONX,9,HPD,462
BRONX,9,NYPD,78
BRONX,9,TLC,1
BROOKLYN,1,DCA,8
BROOKLYN,1,DEP,91
BROOKLYN,1,DHS,1
BROOKLYN,1,DOB,28
BROOKLYN,1,DOF,2
BROOKLYN,1,DOHMH,24
BROOKLYN,1,DOT,84
BROOKLYN,1,DPR,14
BROOKLYN,1,DSNY,74
BROOKLYN,1,HPD,805
BROOKLYN,1,NYPD,237
BROOKLYN,1,TLC,16
BROOKLYN,10,"3-1-1",1
BROOKLYN,10,DCA,12
BROOKLYN,10,DEP,115
BROOKLYN,10,DHS,1
BROOKLYN,10,DOB,103
BROOKLYN,10,DOF,19
BROOKLYN,10,DOHMH,51
BROOKLYN,10,DOT,316
BROOKLYN,10,DPR,66
BROOKLYN,10,DSNY,141
BROOKLYN,10,EDC,1
BROOKLYN,10,FDNY,3
BROOKLYN,10,HPD,686
BROOKLYN,10,NYPD,264
BROOKLYN,10,TLC,7
BROOKLYN,11,DCA,10
BROOKLYN,11,DEP,101
BROOKLYN,11,DFTA,1
BROOKLYN,11,DHS,4
BROOKLYN,11,DOB,57
BROOKLYN,11,DOF,7
BROOKLYN,11,DOHMH,40
BROOKLYN,11,DOT,119
BROOKLYN,11,DPR,44
BROOKLYN,11,DSNY,106
BROOKLYN,11,EDC,1
BROOKLYN,11,FDNY,2
BROOKLYN,11,HPD,455
BROOKLYN,11,NYPD,269
BROOKLYN,11,TLC,5
BROOKLYN,12,"3-1-1",1
BROOKLYN,12,DCA,10
BROOKLYN,12,DEP,117
BROOKLYN,12,DFTA,4
BROOKLYN,12,DHS,2
BROOKLYN,12,DOB,68
BROOKLYN,12,DOE,1
BROOKLYN,12,DOF,15
BROOKLYN,12,DOHMH,54
BROOKLYN,12,DOT,192
BROOKLYN,12,DPR,52
BROOKLYN,12,DSNY,162
BROOKLYN,12,FDNY,2
BROOKLYN,12,HPD,614
BROOKLYN,12,NYPD,268
BROOKLYN,12,TLC,6
BROOKLYN,13,DCA,15
BROOKLYN,13,DEP,88
BROOKLYN,13,DFTA,1
BROOKLYN,13,DHS,1
BROOKLYN,13,DOB,69
BROOKLYN,13,DOF,4
BROOKLYN,13,DOHMH,35
BROOKLYN,13,DOT,229
BROOKLYN,13,DPR,42
BROOKLYN,13,DSNY,164
BROOKLYN,13,FDNY,3
BROOKLYN,13,HPD,1006
BROOKLYN,13,NYPD,225
BROOKLYN,13,TLC,11
BROOKLYN,14,DCA,17
BROOKLYN,14,DEP,108
BROOKLYN,14,DOB,67
BROOKLYN,14,DOF,5
BROOKLYN,14,DOHMH,38
BROOKLYN,14,DOT,228
BROOKLYN,14,DPR,42
BROOKLYN,14,DSNY,159
BROOKLYN,14,FDNY,3
BROOKLYN,14,HPD,1040
BROOKLYN,14,NYPD,258
BROOKLYN,14,TLC,14
BROOKLYN,15,DCA,9
BROOKLYN,15,DEP,80
BROOKLYN,15,DHS,1
BROOKLYN,15,DOB,35
BROOKLYN,15,DOHMH,32
BROOKLYN,15,DOITT,1
BROOKLYN,15,DOT,101
BROOKLYN,15,DPR,12
BROOKLYN,15,DSNY,62
BROOKLYN,15,HPD,858
BROOKLYN,15,NYPD,230
BROOKLYN,15,TLC,5
BROOKLYN,16,DCA,7
BROOKLYN,16,DEP,87
BROOKLYN,16,DHS,1
BROOKLYN,16,DOB,21
BROOKLYN,16,DOE,1
BROOKLYN,16,DOHMH,20
BROOKLYN,16,DOT,102
BROOKLYN,16,DPR,12
BROOKLYN,16,DSNY,76
BROOKLYN,16,FDNY,3
BROOKLYN,16,HPD,717
BROOKLYN,16,NYPD,289
