Borough,"date_mday","ComplaintType",count
BRONX,1,APPLIANCE,6
BRONX,1,Asbestos,2
BRONX,1,"Blocked Driveway",40
BRONX,1,Boilers,2
BRONX,1,"Broken Muni Meter",8
BRONX,1,"Building/Use",4
BRONX,1,"DOOR/WINDOW",32
BRONX,1,"DPR Internal",1
BRONX,1,"Derelict Vehicles",3
BRONX,1,"Dirty Conditions",4
BRONX,1,Drinking,1
BRONX,1,ELECTRIC,14
BRONX,1,ELEVATOR,1
BRONX,1,Electrical,2
BRONX,1,Elevator,4
BRONX,1,"FLOORING/STAIRS",13
BRONX,1,"Food Establishment",2
BRONX,1,"Food Poisoning",2
BRONX,1,"For Hire Vehicle Complaint",1
BRONX,1,GENERAL,14
BRONX,1,"General Construction/Plumbing",4
BRONX,1,"HEAT/HOT WATER",729
BRONX,1,"Hazardous Materials",1
BRONX,1,"Highway Condition",3
BRONX,1,"Illegal Parking",8
BRONX,1,"Indoor Air Quality",1
BRONX,1,"Missed Collection (All Materials)",2
BRONX,1,Noise,9
BRONX,1,"Noise - Commercial",3
BRONX,1,"Noise - Street/Sidewalk",6
BRONX,1,"Noise - Vehicle",1
BRONX,1,"Non-Residential Heat",1
BRONX,1,"OUTSIDE BUILDING",1
BRONX,1,"Overgrown Tree/Branches",1
BRONX,1,"PAINT/PLASTER",43
BRONX,1,PLUMBING,35
BRONX,1,Rodent,12
BRONX,1,SAFETY,7
BRONX,1,"Sanitation Condition",4
BRONX,1,Sewer,7
BRONX,1,Smoking,1
BRONX,1,"Street Condition",5
BRONX,1,"Street Light Condition",8
BRONX,1,"Taxi Complaint",2
BRONX,1,"Traffic Signal Condition",10
BRONX,1,"UNSANITARY CONDITION",34
BRONX,1,"WATER LEAK",29
BRONX,1,WNW,2
BRONX,1,"Water System",5
BRONX,10,APPLIANCE,25
BRONX,10,"Air Quality",5
BRONX,10,"Animal Abuse",8
BRONX,10,Asbestos,2
BRONX,10,"Blocked Driveway",27
BRONX,10,Boilers,2
BRONX,10,"Broken Muni Meter",4
BRONX,10,"Building/Use",17
BRONX,10,"Bus Stop Shelter Placement",1
BRONX,10,"City Vehicle Placard Complaint",1
BRONX,10,"Consumer Complaint",4
BRONX,10,"DOF Property - Reduction Issue",1
BRONX,10,"DOOR/WINDOW",46
BRONX,10,"Damaged Tree",4
BRONX,10,"Dead Tree",1
BRONX,10,"Derelict Vehicle",2
BRONX,10,"Derelict Vehicles",9
BRONX,10,"Dirty Conditions",24
BRONX,10,Drinking,2
BRONX,10,ELECTRIC,15
BRONX,10,ELEVATOR,4
BRONX,10,Electrical,5
BRONX,10,Elevator,6
BRONX,10,"FLOORING/STAIRS",51
BRONX,10,"Food Establishment",2
BRONX,10,"Food Poisoning",2
BRONX,10,"For Hire Vehicle Report",1
BRONX,10,GENERAL,35
BRONX,10,"General Construction/Plumbing",6
BRONX,10,Graffiti,2
BRONX,10,"HEAT/HOT WATER",271
BRONX,10,"Hazardous Materials",1
BRONX,10,"Homeless Person Assistance",1
BRONX,10,"Illegal Parking",26
BRONX,10,"Illegal Tree Damage",1
BRONX,10,"Indoor Air Quality",2
BRONX,10,"Indoor Sewage",1
BRONX,10,"Litter Basket / Request",2
BRONX,10,"Missed Collection (All Materials)",1
BRONX,10,Noise,14
BRONX,10,"Noise - Commercial",8
BRONX,10,"Noise - House of Worship",1
BRONX,10,"Noise - Street/Sidewalk",8
BRONX,10,"Noise - Vehicle",7
BRONX,10,"OUTSIDE BUILDING",1
BRONX,10,"Other Enforcement",3
BRONX,10,"Overflowing Litter Baskets",1
BRONX,10,"Overgrown Tree/Branches",3
BRONX,10,"PAINT/PLASTER",99
BRONX,10,PLUMBING,55
BRONX,10,Plumbing,2
BRONX,10,Rodent,28
BRONX,10,"Root/Sewer/Sidewalk Condition",2
BRONX,10,SAFETY,20
BRONX,10,SCRIE,7
BRONX,10,"Sanitation Condition",11
BRONX,10,"School Maintenance",1
BRONX,10,Sewer,6
BRONX,10,"Sidewalk Condition",1
BRONX,10,Smoking,1
BRONX,10,"Special Enforcement",4
BRONX,10,"Special Projects Inspection Team (SPIT)",1
BRONX,10,"Street Condition",8
BRONX,10,"Street Light Condition",51
BRONX,10,"Street Sign - Damaged",1
BRONX,10,"Street Sign - Dangling",1
BRONX,10,"Sweeping/Missed",2
BRONX,10,"Traffic Signal Condition",21
BRONX,10,"UNSANITARY CONDITION",128
BRONX,10,"Unsanitary Animal Pvt Property",1
BRONX,10,"Urinating in Public",2
BRONX,10,Vending,1
BRONX,10,"WATER LEAK",32
BRONX,10,"Water Quality",1
BRONX,10,"Water System",13
BRONX,11,APPLIANCE,10
BRONX,11,"Air Quality",1
BRONX,11,"Animal Abuse",8
BRONX,11,Asbestos,1
BRONX,11,"Blocked Driveway",35
BRONX,11,"Broken Muni Meter",6
BRONX,11,"Building/Use",8
BRONX,11,"Consumer Complaint",8
BRONX,11,"DOF Property - Reduction Issue",1
BRONX,11,"DOOR/WINDOW",22
BRONX,11,"DPR Internal",1
BRONX,11,"Damaged Tree",4
BRONX,11,"Dead Tree",1
BRONX,11,"Derelict Vehicle",3
BRONX,11,"Derelict Vehicles",9
BRONX,11,"Dirty Conditions",11
BRONX,11,"EAP Inspection - F59",1
BRONX,11,ELECTRIC,16
BRONX,11,ELEVATOR,1
BRONX,11,Electrical,1
BRONX,11,Elevator,4
BRONX,11,"FLOORING/STAIRS",23
BRONX,11,"Food Establishment",2
BRONX,11,GENERAL,24
BRONX,11,"General Construction/Plumbing",1
BRONX,11,Graffiti,2
BRONX,11,"HEAT/HOT WATER",186
BRONX,11,"Harboring Bees/Wasps",1
BRONX,11,"Illegal Parking",11
BRONX,11,"Illegal Tree Damage",1
BRONX,11,"Indoor Air Quality",5
BRONX,11,Lead,1
BRONX,11,"Maintenance or Facility",2
BRONX,11,Noise,15
BRONX,11,"Noise - Commercial",2
BRONX,11,"Noise - Street/Sidewalk",7
BRONX,11,"Noise - Vehicle",1
BRONX,11,"Other Enforcement",3
BRONX,11,"Overgrown Tree/Branches",3
BRONX,11,"PAINT/PLASTER",42
BRONX,11,PLUMBING,35
BRONX,11,Plumbing,2
BRONX,11,"Recycling Enforcement",1
