Borough,"date_mday",Agency,AvgCloseTime,AvgTimeMin
MANHATTAN,2,DOITT,"18+22:13:18.000000","454.2216666667"
MANHATTAN,1,DPR,"18+02:10:46.000000","434.1794444444"
BRONX,3,DOHMH,"17+21:37:40.000000","429.6277777778"
"STATEN ISLAND",4,DOITT,"16+23:04:54.000000","407.0816666667"
BROOKLYN,4,DOITT,"16+21:23:17.000000","405.3880555556"
MANHATTAN,5,DOITT,"16+00:10:23.000000","384.1730555556"
"STATEN ISLAND",3,DCA,"15+14:13:44.000000","374.2288888889"
"STATEN ISLAND",4,DCA,"15+12:44:24.000000","372.7400000000"
BROOKLYN,2,DCA,"15+05:10:44.000000","365.1788888889"
BROOKLYN,6,DOITT,"14+21:51:32.000000","357.8588888889"
BRONX,3,DCA,"13+22:35:01.333333","334.5837037036"
QUEENS,1,DCA,"13+18:34:57.375000","330.5826041667"
BROOKLYN,5,DFTA,"13+14:12:42.000000","326.2116666667"
MANHATTAN,5,DFTA,"13+03:22:48.000000","315.3800000000"
QUEENS,7,DFTA,"13+00:59:31.500000","312.9920833333"
"STATEN ISLAND",6,DPR,"12+23:12:38.000000","311.2105555556"
MANHATTAN,5,DCA,"12+09:32:01.615385","297.5337820514"
QUEENS,4,DCA,"12+04:04:43.750000","292.0788194444"
QUEENS,3,DCA,"12+00:58:21.812500","288.9727256944"
BROOKLYN,1,DCA,"12+00:24:50.625000","288.4140625000"
QUEENS,5,DCA,"11+23:53:33.666667","287.8926851853"
BROOKLYN,2,DOHMH,"11+19:42:09.200000","283.7025555556"
BRONX,2,DCA,"11+18:00:21.750000","282.0060416667"
MANHATTAN,2,EDC,"11+16:26:44.000000","280.4455555556"
MANHATTAN,4,DCA,"11+12:08:39.714286","276.144365079"
MANHATTAN,3,DCA,"11+07:04:32.615385","271.075726496"
BROOKLYN,10,EDC,"11+03:58:18.000000","267.971666667"
Unspecified,4,DCA,"11+02:59:33.583333","266.992662037"
BROOKLYN,2,DOE,"11+00:14:58.000000","264.249444444"
MANHATTAN,2,DOHMH,"10+22:52:42.000000","262.878333333"
MANHATTAN,10,EDC,"10+22:50:48.000000","262.846666667"
MANHATTAN,3,EDC,"10+22:12:16.000000","262.204444444"
QUEENS,1,FDNY,"10+19:17:40.000000","259.294444444"
QUEENS,6,DCA,"10+13:33:08.333333","253.552314815"
MANHATTAN,3,DOHMH,"10+10:55:21.250000","250.922569444"
BROOKLYN,11,EDC,"10+07:34:16.000000","247.571111111"
QUEENS,3,DOHMH,"10+06:27:33.666667","246.459351852"
"STATEN ISLAND",9,TLC,"10+00:05:05.000000","240.084722222"
MANHATTAN,11,EDC,"9+23:07:01.000000","239.116944444"
QUEENS,1,DOHMH,"9+22:18:52.750000","238.314652778"
BROOKLYN,5,DCA,"9+22:14:55.933333","238.248870370"
BROOKLYN,4,DFTA,"9+22:01:52.000000","238.031111111"
BRONX,4,DOHMH,"9+20:11:14.500000","236.187361111"
BRONX,7,DOE,"9+18:03:35.000000","234.059722222"
MANHATTAN,7,DOE,"9+16:37:15.000000","232.620833333"
BROOKLYN,1,DPR,"9+16:17:27.200000","232.290888889"
MANHATTAN,7,DOHMH,"9+14:06:50.000000","230.113888889"
Unspecified,7,DCA,"9+13:04:13.428571","229.070396825"
MANHATTAN,6,DCA,"9+11:52:27.928571","227.874424603"
BRONX,4,DCA,"9+10:32:21.545455","226.539318182"
"STATEN ISLAND",3,DPR,"9+10:22:18.250000","226.371736111"
QUEENS,2,DOHMH,"9+10:10:49.600000","226.180444444"
BROOKLYN,6,DCA,"9+07:40:09.944444","223.669429012"
BROOKLYN,3,DCA,"9+02:31:47.217391","218.529782609"
"STATEN ISLAND",4,DPR,"8+23:21:30.625000","215.358506944"
MANHATTAN,5,EDC,"8+19:27:42.000000","211.461666667"
BROOKLYN,4,DCA,"8+18:17:23.000000","210.289722222"
MANHATTAN,1,DCA,"8+17:58:00.500000","209.966805556"
MANHATTAN,1,DOHMH,"8+16:16:24.125000","208.273368056"
QUEENS,8,TLC,"8+11:01:50.000000","203.030555556"
BROOKLYN,6,DOHMH,"8+08:01:41.714286","200.028253968"
MANHATTAN,2,DCA,"8+05:30:54.000000","197.515000000"
MANHATTAN,13,EDC,"8+02:47:09.875000","194.786076389"
"STATEN ISLAND",5,DPR,"8+00:54:11.857143","192.903293651"
"STATEN ISLAND",7,DPR,"7+23:18:00.666667","191.300185185"
BROOKLYN,9,DOE,"7+22:47:21.000000","190.789166667"
BRONX,5,DOE,"7+20:46:31.000000","188.775277778"
BROOKLYN,4,DOE,"7+19:50:06.000000","187.835000000"
BROOKLYN,9,DOITT,"7+18:50:29.000000","186.841388889"
QUEENS,7,DPR,"7+15:23:43.968750","183.395546875"
BRONX,5,DOHMH,"7+14:50:23.333333","182.839814815"
Unspecified,8,DCA,"7+09:48:07.500000","177.802083333"
Unspecified,5,DCA,"7+09:30:19.916667","177.505532408"
BROOKLYN,5,DOHMH,"7+09:27:40.500000","177.461250000"
BRONX,6,DCA,"7+06:48:36.600000","174.810166667"
MANHATTAN,7,EDC,"7+02:33:36.000000","170.560000000"
QUEENS,4,DOHMH,"7+02:17:57.000000","170.299166667"
MANHATTAN,14,EDC,"7+00:04:28.000000","168.074444444"
BROOKLYN,3,DOHMH,"6+23:49:43.538462","167.828760684"
Unspecified,3,DCA,"6+20:45:49.538462","164.763760684"
MANHATTAN,6,DOE,"6+19:35:12.000000","163.586666667"
QUEENS,10,DOE,"6+18:45:48.000000","162.763333333"
Unspecified,3,TLC,"6+18:05:03.000000","162.084166667"
MANHATTAN,1,TLC,"6+17:07:22.555556","161.122932099"
QUEENS,7,DCA,"6+12:25:59.500000","156.433194444"
BROOKLYN,6,DOE,"6+11:47:01.000000","155.783611111"
BRONX,3,TLC,"6+09:29:45.500000","153.495972222"
