day	hour	value
1	1	9034
1	2	99
1	3	52
1	4	46
1	5	41
1	6	60
1	7	155
1	8	308
1	9	566
1	10	815
1	11	1044
1	12	1092
1	13	713
1	14	726
1	15	837
1	16	995
1	17	714
1	18	476
1	19	444
1	20	391
1	21	362
1	22	250
1	23	319
1	24	251
2	1	8467
2	2	96
2	3	58
2	4	37
2	5	37
2	6	54
2	7	164
2	8	314
2	9	520
2	10	674
2	11	780
2	12	734
2	13	644
2	14	672
2	15	729
2	16	702
2	17	529
2	18	445
2	19	434
2	20	403
2	21	384
2	22	334
2	23	324
2	24	252
3	1	8870
3	2	137
3	3	66
3	4	54
3	5	49
3	6	83
3	7	142
3	8	316
3	9	585
3	10	788
3	11	946
3	12	913
3	13	725
3	14	775
3	15	896
3	16	875
3	17	559
3	18	458
3	19	438
3	20	339
3	21	347
3	22	310
3	23	336
3	24	277
4	1	8568
4	2	104
4	3	64
4	4	30
4	5	35
4	6	55
4	7	184
4	8	277
4	9	586
4	10	726
4	11	914
4	12	940
4	13	715
4	14	944
4	15	776
4	16	707
4	17	626
4	18	467
4	19	428
4	20	330
4	21	340
4	22	327
4	23	304
4	24	279
5	1	9218
5	2	130
5	3	74
5	4	58
5	5	42
5	6	83
5	7	176
5	8	304
5	9	524
5	10	735
5	11	948
5	12	801
5	13	680
5	14	712
5	15	773
5	16	652
5	17	530
5	18	371
5	19	345
5	20	286
5	21	271
5	22	261
5	23	289
5	24	258
6	1	8182
6	2	221
6	3	170
6	4	77
6	5	70
6	6	83
6	7	158
6	8	136
6	9	337
6	10	416
6	11	418
6	12	391
6	13	356
6	14	393
6	15	346
6	16	309
6	17	319
6	18	332
6	19	277
6	20	249
6	21	256
6	22	271
6	23	262
6	24	335
7	1	7093
7	2	280
7	3	127
7	4	94
7	5	60
7	6	62
7	7	115
7	8	184
7	9	307
7	10	390
7	11	430
7	12	399
7	13	387
7	14	361
7	15	351
7	16	344
7	17	291
7	18	310
7	19	303
7	20	279
7	21	283
7	22	255
7	23	222
7	24	186
